,Code,Movie,Audience,Screen,genres,year,month,AgeRate
310,20144257,안녕 자두야 스페셜 : 인어공주 ,0.272,1,애니메이션,2015,10,전체관람가
311,20161723,싱글라이더,351.276,1,드라마,2015,10,청소년관람가
312,20172401,왕을 참하라,4.188,1,드라마,2015,10,18세이상관람가
313,20167905,비정규직 특수요원,146.802,102,코미디,2015,10,청소년관람가
314,20168668,레이디버그,40.989,17,애니메이션,2015,10,전체관람가
315,20144641,판도라,4583.645,1,드라마,2015,10,청소년관람가
316,20156562,루시드 드림,102.047,2,SF,2015,10,청소년관람가
317,19700035,미워도 다시 한번 3,1.988,1,드라마,2015,10,청소년관람가
318,20151228,공조,7816.521,34,액션,2015,10,청소년관람가
319,20161366,"그래, 가족",46.378,5,코미디,2015,10,청소년관람가
320,19660041,물레방아,0.648,1,멜로/로맨스,2015,10,청소년관람가
321,19730023,흑권,0.592,1,액션,2015,10,청소년관람가
322,20161725,마스터,7150.142,5,액션,2015,10,청소년관람가
323,20145503,검은 사제들,5442.915,1,미스터리,2015,10,청소년관람가
324,20150966,사랑하기 때문에,340.766,4,코미디,2015,10,청소년관람가
325,20152371,"당신, 거기 있어줄래요",1168.597,5,판타지,2015,10,청소년관람가
326,19880070,칠수와 만수,0.321,1,드라마,2015,10,18세이상관람가
327,20154661,형,2980.397,1,코미디,2015,10,청소년관람가
328,20155223,목숨 건 연애,47.805,6,멜로/로맨스,2015,10,청소년관람가
329,20153741,미씽: 사라진 여자,1153.109,1,미스터리,2015,10,청소년관람가
330,19820019,만추,849.371,1,멜로/로맨스,2015,10,청소년관람가
331,20154905,가려진 시간,510.728,5,드라마,2015,10,청소년관람가
332,20140704,비밀은 없다,250.829,1,스릴러,2015,10,18세이상관람가
333,20123501,군도: 민란의 시대,4775.811,1,사극,2015,10,청소년관람가
334,20150979,덕혜옹주,5599.229,2,사극,2015,10,청소년관람가
335,20151022,걷기왕,95.393,1,드라마,2015,10,청소년관람가
336,20160472,두 남자,59.788,23,범죄,2015,10,18세이상관람가
337,20153444,럭키,6974.991,1,코미디,2015,10,청소년관람가
338,20163521,스플릿,757.863,4,드라마,2015,10,청소년관람가
339,20156250,인천상륙작전,7049.537,1,전쟁,2015,10,청소년관람가
340,20153443,아수라,2594.028,2,범죄,2015,10,18세이상관람가
341,19910067,천국의 계단,0.297,1,드라마,2015,10,18세이상관람가
342,20124050,화차,2436.81,1,미스터리,2015,10,청소년관람가
343,20163107,아더왕의 전설,0.847,2,공연,2015,10,전체관람가
344,20150564,혼숨,286.147,73,공포(호러),2015,10,청소년관람가
345,20150566,극장판 꼬마버스 타요의 에이스 구출작전,134.658,4,애니메이션,2015,10,전체관람가
346,20166541,달빛궁궐,152.634,4,애니메이션,2015,10,전체관람가
347,20112212,만추,1.239,1,드라마,2015,10,18세이상관람가
348,20159646,밀정,7499.738,3,액션,2015,10,청소년관람가
349,20159648,"고산자, 대동여지도",973.951,1,사극,2015,10,전체관람가
350,20162704,극장판 안녕 자두야,280.197,1,애니메이션,2015,10,전체관람가
351,20162022,대결,32.278,2,액션,2015,10,청소년관람가
352,20160041,인천상륙작전 : 익스텐디드 에디션(확장판),26.95,2,전쟁,2015,10,청소년관람가
353,20154910,터널,7120.241,17,드라마,2015,10,청소년관람가
354,20150968,국가대표 2,709.24,1,드라마,2015,10,청소년관람가
355,19850074,화녀촌,0.449,1,드라마,2015,10,18세이상관람가
356,20161961,나는 증인이다,0.557,2,미스터리,2015,10,청소년관람가
357,20150901,올레,66.127,60,드라마,2015,10,청소년관람가
358,20140121,"1789, 바스티유의 연인들",4.386,6,뮤지컬,2015,10,전체관람가
359,20152105,"시발, 놈: 인류의 시작",0.965,7,코미디,2015,10,청소년관람가
360,20159644,봉이 김선달,2049.396,5,사극,2015,10,청소년관람가
361,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,445.36,1,애니메이션,2015,10,전체관람가
362,20156559,계춘할망,482.259,3,가족,2015,10,청소년관람가
363,20050216,형사 Duelist,922.68,1,멜로/로맨스,2015,10,전체관람가
364,20150972,굿바이 싱글,2103.766,129,코미디,2015,10,청소년관람가
365,20050239,너는 내 운명,2701.544,1,멜로/로맨스,2015,10,18세이상관람가
