movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
163,165,20185124,러브 유어셀프 인 서울,342366,2019-01-26,48,전체관람가,공연,2019,1,9.26
164,166,20183915,극장판 공룡메카드: 타이니소어의 섬,408822,2019-01-10,17,전체관람가,애니메이션,2019,1,9.18
165,167,20170658,PMC: 더 벙커,1670859,2018-12-26,5,15세이상관람가,액션,2018,12,5.43
166,168,20183785,점박이 한반도의 공룡2 : 새로운 낙원,548661,2018-12-25,10,전체관람가,애니메이션,2018,12,9.19
167,169,20184187,언니,197211,2019-01-01,94,청소년관람불가,액션,2019,1,6.09
168,170,20168773,마약왕,1863283,2018-12-19,10,청소년관람불가,범죄,2018,12,6.63
169,171,20179230,도어락,1560352,2018-12-05,5,15세이상관람가,스릴러,2018,12,6.57
170,172,20177538,완벽한 타인,5292712,2018-10-31,29,15세이상관람가,드라마,2018,10,8.76
171,173,20183745,런닝맨 : 풀룰루의 역습,186064,2018-12-05,36,전체관람가,애니메이션,2018,12,7.8
172,174,20183650,번개맨의 비밀,49367,2018-12-06,113,전체관람가,가족,2018,12,9.0
173,175,20184481,성난황소,1590591,2018-11-22,98,15세이상관람가,범죄,2018,11,7.91
174,176,20184529,트와이스랜드,17823,2018-12-07,10,전체관람가,다큐멘터리,2018,12,9.16
175,177,20182981,리벤져,2322,2018-12-06,45,15세이상관람가,액션,2018,12,5.1
176,178,20183050,번 더 스테이지: 더 무비,312584,2018-11-15,57,전체관람가,기타,2018,11,9.46
177,179,20181561,덕구,315164,2018-04-05,4,전체관람가,드라마,2018,4,9.53
178,180,20189869,해피 투게더,24827,2018-11-15,5,12세이상관람가,드라마,2018,11,8.58
179,181,20173202,버닝,528372,2018-05-17,1,청소년관람불가,미스터리,2018,5,6.77
180,182,20170513,동네사람들,459918,2018-11-07,28,15세이상관람가,액션,2018,11,6.61
181,183,20176122,안시성,5439308,2018-09-19,1,12세이상관람가,사극,2018,9,8.05
182,184,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40892,2018-09-20,3,전체관람가,애니메이션,2018,9,8.97
183,185,20179006,여곡성,66455,2018-11-08,40,15세이상관람가,공포(호러),2018,11,5.19
184,187,20189067,미쓰백,721183,2018-10-11,6,15세이상관람가,드라마,2018,10,9.17
185,188,20179189,암수살인,3786412,2018-10-03,63,15세이상관람가,범죄,2018,10,8.33
186,189,20020106,복수는 나의 것,1918,2002-03-28,8,18세관람가,범죄,2002,3,8.35
187,190,20050148,친절한 금자씨,3121204,2005-07-29,9,18세관람가,스릴러,2005,7,7.26
188,191,20177308,협상,1967721,2018-09-19,4,15세이상관람가,범죄,2018,9,7.86
189,192,20172469,허스토리,335540,2018-06-27,2,12세이상관람가,드라마,2018,6,9.41
190,193,19760096,금욕,285,1976-03-13,1,12세이상관람가,드라마,1976,3,7.25
191,194,20184678,배반의 장미,40208,2018-10-18,57,15세이상관람가,코미디,2018,10,6.68
192,195,20179101,공작,4974340,2018-08-08,1,12세이상관람가,드라마,2018,8,6.85
193,196,20172204,명당,2084319,2018-09-19,4,12세이상관람가,사극,2018,9,7.27
194,197,20167903,원더풀 고스트,448316,2018-09-26,9,12세이상관람가,코미디,2018,9,7.26
195,198,20153446,너의 결혼식,2820486,2018-08-22,7,12세이상관람가,멜로/로맨스,2018,8,8.68
196,199,20177537,상류사회,767589,2018-08-29,5,청소년관람불가,드라마,2018,8,4.31
197,200,20156554,물괴,719968,2018-09-12,90,15세이상관람가,액션,2018,9,5.26
198,201,20170670,목격자,2522729,2018-08-15,64,15세이상관람가,스릴러,2018,8,5.61
199,202,20188501,미친도시,1992,2018-08-30,2,15세이상관람가,드라마,2018,8,8.0
200,203,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677788,2018-07-25,6,전체관람가,애니메이션,2018,7,8.76
201,204,20179383,독전,5063620,2018-05-22,1,15세이상관람가,범죄,2018,5,7.75
202,205,20170942,인랑,897255,2018-07-25,5,15세이상관람가,SF,2018,7,4.01
203,206,20185341,마녀,3188969,2018-06-27,1,15세이상관람가,미스터리,2018,6,8.2
204,207,20178161,탐정: 리턴즈,3152568,2018-06-13,5,15세이상관람가,코미디,2018,6,8.6
205,208,20174369,변산,489619,2018-07-04,3,15세이상관람가,드라마,2018,7,7.93
206,209,20162442,청년경찰,5653444,2017-08-09,1,15세이상관람가,액션,2017,8,8.59
207,210,20188042,독전: 익스텐디드 컷,136885,2018-07-18,53,15세이상관람가,범죄,2018,7,7.52
208,211,20187682,해적왕 작스톰,4434,2018-07-25,63,전체관람가,애니메이션,2018,7,8.99
209,212,20180282,속닥속닥,217326,2018-07-13,10,15세이상관람가,공포(호러),2018,7,5.83
210,213,20184101,여중생A,96893,2018-06-20,12,12세이상관람가,드라마,2018,6,7.02
211,214,20170669,지금 만나러 갑니다,2601857,2018-03-14,15,12세이상관람가,멜로/로맨스,2018,3,8.72
212,215,20159647,리얼,470135,2017-06-28,1,청소년관람불가,액션,2017,6,4.48
213,216,20186926,게이트-완결판,771,2018-06-21,5,15세이상관람가,범죄,2018,6,3.64
214,217,20177005,레슬러,770631,2018-05-09,6,15세이상관람가,드라마,2018,5,4.99
215,218,20189783,챔피언,1128693,2018-05-01,1,12세이상관람가,드라마,2018,5,6.56
216,219,20100510,자유부인,2278,1956-06-09,1,청소년관람불가,드라마,1956,6,7.83
217,220,20181366,미니특공대X,99971,2018-03-22,1,전체관람가,애니메이션,2018,3,7.57
218,221,20173865,데자뷰,48134,2018-05-30,19,15세이상관람가,미스터리,2018,5,6.16
219,222,20162869,택시운전사,12189025,2017-08-02,2,15세이상관람가,드라마,2017,8,9.08
220,223,20151230,원라인,435090,2017-03-29,1,15세이상관람가,범죄,2017,3,8.41
