,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,마동석,황정민,정만식,박성웅,라미란,송강호,오달수,성동일,조진웅,김희원
107,107,20188750,나쁜 녀석들: 더 무비,4573.353,3,범죄,청소년관람가,9,2019,4,34,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,108,20185361,두번할까요,175.567,7,코미디,청소년관람가,10,2019,4,34,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,109,20184105,말모이,2866.453,1,드라마,청소년관람가,1,2019,1,34,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,20030003,클래식,15.24,19,드라마,전체관람가,1,2003,1,22,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,20110279,마당을 나온 암탉,2204.374,28,애니메이션,전체관람가,7,2011,3,26,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,112,20186707,오늘도 위위,1.114,40,드라마,전체관람가,10,2019,4,34,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113,20194456,양자물리학,552.187,33,범죄,청소년관람가,9,2019,4,34,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114,20185784,나의 특별한 형제,1476.777,1,드라마,청소년관람가,5,2019,2,34,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,20184572,타짜: 원 아이드 잭,2227.5429999999997,69,범죄,18세이상관람가,9,2019,4,34,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,20184543,변신,1803.112,5,공포(호러),청소년관람가,8,2019,3,34,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,117,20182585,비스트,203.042,5,범죄,청소년관람가,6,2019,3,34,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,20181416,유열의 음악앨범,1240.975,105,멜로/로맨스,청소년관람가,8,2019,3,34,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,20185985,광대들: 풍문조작단,632.384,199,사극,청소년관람가,8,2019,3,34,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,120,20020061,집으로...,4.975,51,드라마,전체관람가,4,2002,2,21,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,20182490,나랏말싸미,954.88,3,사극,전체관람가,7,2019,3,34,3.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
122,122,20193642,캐리tv 러브콘서트 더 무비,29.090999999999998,22,공연,전체관람가,8,2019,3,34,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,20188404,암전,101.366,36,미스터리,청소년관람가,8,2019,3,34,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,20180442,사자,1602.046,213,미스터리,청소년관람가,7,2019,3,34,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,125,20194044,공포체험단 곤지암편,3.282,11,공포(호러),청소년관람가,7,2019,3,34,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,20185353,기방도령,284.283,5,코미디,청소년관람가,7,2019,3,34,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15.703,6,애니메이션,전체관람가,7,2019,3,34,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,20185986,진범,166.838,38,스릴러,청소년관람가,7,2019,3,34,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,20198453,롱 리브 더 킹: 목포 영웅,1092.611,7,액션,청소년관람가,6,2019,3,34,7.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,20188941,악인전,3364.1,6,범죄,18세이상관람가,5,2019,2,34,8.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,20124079,"광해, 왕이 된 남자",12323.988000000001,1,사극,청소년관람가,9,2012,4,27,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,132,20187981,배심원들,287.902,1,드라마,청소년관람가,5,2019,2,34,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,133,20122783,감시자들,5509.019,1,범죄,청소년관람가,7,2013,3,28,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,134,20180361,귀신의 향기,0.5429999999999999,17,공포(호러),청소년관람가,7,2019,3,34,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135,20184082,걸캅스,1627.524,9,코미디,청소년관람가,5,2019,2,34,5.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
136,136,20199448,어린 의뢰인,199.375,6,드라마,청소년관람가,5,2019,2,34,9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,137,20151229,더 킹,5317.959,1,범죄,청소년관람가,1,2017,1,32,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,138,20188144,0.0MHz,136.939,26,공포(호러),청소년관람가,5,2019,2,34,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,139,20191744,노리개: 그녀의 눈물,2.287,50,드라마,청소년관람가,6,2019,3,34,7.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,140,20198982,크게 될 놈,102.374,2,드라마,청소년관람가,4,2019,2,34,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,141,20090248,마더,2980.954,7,드라마,18세이상관람가,5,2009,2,24,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,20180825,미성년,292.14,8,드라마,청소년관람가,4,2019,2,34,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,143,20175547,스윙키즈,1472.7020000000002,38,드라마,청소년관람가,12,2018,1,33,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,144,20182501,왓칭,55.083,6,공포(호러),청소년관람가,4,2019,2,34,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
