,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,Top10배우,Age_Rate
249,249,20172742,범죄도시,6880.351,10,범죄,18세이상관람가,10,2017,4,32,9.22,1,0
250,250,20173581,기억의 밤,1387.499,6,미스터리,청소년관람가,11,2017,4,32,8.41,0,2
252,252,20176769,광인옥한흠,2.681,5,다큐멘터리,전체관람가,12,2017,1,32,9.17,0,1
253,253,20165748,꾼,4018.035,5,범죄,청소년관람가,11,2017,4,32,7.86,1,2
254,254,20175441,채비,177.428,1,드라마,청소년관람가,11,2017,4,32,9.01,0,2
256,256,20161762,반드시 잡는다,446.764,3,스릴러,청소년관람가,11,2017,4,32,8.26,1,2
257,257,20168754,7호실,346.986,5,코미디,청소년관람가,11,2017,4,32,6.82,1,2
258,258,20172603,부라더,1492.049,8,코미디,청소년관람가,11,2017,4,32,7.68,1,2
259,259,20175208,뷰티풀 투모로우,62.65,1,드라마,청소년관람가,10,2017,4,32,9.45,0,2
260,260,20173903,역모-반란의 시대,21.657,355,사극,청소년관람가,11,2017,4,32,3.74,0,2
261,261,20171817,넛잡 2,410.569,5,애니메이션,전체관람가,10,2017,4,32,8.86,0,1
262,262,20169643,침묵,493.673,8,드라마,청소년관람가,11,2017,4,32,7.84,0,2
263,263,20165450,남한산성,3846.769,20,사극,청소년관람가,10,2017,4,32,8.0,0,2
264,264,20171885,노트르담 드 파리,4.974,33,뮤지컬,전체관람가,11,2017,4,32,8.72,0,1
265,265,20164424,대장 김창수,377.071,51,드라마,청소년관람가,10,2017,4,32,7.95,1,2
266,266,20154907,희생부활자,322.207,19,미스터리,청소년관람가,10,2017,4,32,7.32,1,2
267,267,20154909,살인자의 기억법,2657.557,20,범죄,청소년관람가,9,2017,4,32,7.87,1,2
268,268,20151227,아빠는 딸,647.305,2,코미디,청소년관람가,4,2017,2,32,8.14,0,2
269,269,20150964,조작된 도시,2515.315,1,범죄,청소년관람가,2,2017,1,32,8.11,0,2
270,270,20151003,장산범,1306.387,5,미스터리,청소년관람가,8,2017,3,32,6.77,0,2
271,271,20172964,이웃집 스타,10.747,1,코미디,청소년관람가,9,2017,4,32,5.9,0,2
272,272,20164174,브이아이피,1373.2979999999998,2,범죄,18세이상관람가,8,2017,3,32,6.56,0,0
273,273,20161481,군함도,6591.193,6,액션,청소년관람가,7,2017,3,32,5.02,1,2
274,274,20179407,로마의 휴일,134.577,5,코미디,청소년관람가,8,2017,3,32,9.15,0,2
276,276,20173826,구세주: 리턴즈,4.052,121,코미디,청소년관람가,9,2017,4,32,4.63,0,2
278,278,20165042,빅뱅 메이드,56.2,1,다큐멘터리,청소년관람가,6,2016,3,31,8.99,0,2
281,281,20162343,악녀,1207.119,40,액션,18세이상관람가,6,2017,3,32,7.24,0,0
282,282,20166384,하루,1129.233,4,스릴러,청소년관람가,6,2017,3,32,7.48,0,2
283,283,20169348,대립군,837.31,3,드라마,청소년관람가,5,2017,2,32,7.7,0,2
284,284,20162722,보안관,2587.648,2,범죄,청소년관람가,5,2017,2,32,8.19,1,2
286,286,20175581,파워배틀 와치카: 와치가면의 역습,23.136,2,애니메이션,전체관람가,6,2017,3,32,8.52,0,1
287,287,20177223,청춘 합창단 - 또 하나의 꿈,5.041,38,다큐멘터리,전체관람가,6,2017,3,32,8.24,0,1
288,288,20156708,석조저택 살인사건,351.342,7,스릴러,청소년관람가,5,2017,2,32,7.63,1,2
289,289,20162871,특별시민,1362.434,6,드라마,청소년관람가,4,2017,2,32,7.65,1,2
290,290,20161726,임금님의 사건수첩,1634.0379999999998,5,코미디,청소년관람가,4,2017,2,32,8.04,1,2
291,291,20144444,아가씨,4288.53,1,스릴러,18세이상관람가,6,2016,3,31,7.13,1,0
293,293,20173061,슈퍼 빼꼼: 스파이 대작전,98.02,10,애니메이션,전체관람가,5,2017,2,32,8.46,0,1
294,294,20174165,극장판 또봇: 로봇군단의 습격,141.57299999999995,4,애니메이션,전체관람가,4,2017,2,32,9.36,0,1
295,295,20162181,프리즌,2931.897,5,범죄,18세이상관람가,3,2017,2,32,7.8,0,0
297,297,20167901,어느날,234.586,5,멜로/로맨스,청소년관람가,4,2017,2,32,8.02,0,2
299,299,20161923,시간위의 집,128.764,14,미스터리,청소년관람가,4,2017,2,32,8.23,0,2
